"code","name","city","state","country","x","y"
"KKO","Kaikohe","Kaikohe",,"NZ","173.8","-35.4075"
"KBZ","Kaikoura","Kaikoura",,"NZ","173.681","-42.4023"
"KAT","Kaitaia","Kaitaia",,"NZ","173.262","-35.1117"
"KUI","Kawau Island","Kawau Island",,"NZ","174.863","-36.4209"
"KKE","Kerikeri","Kerikeri",,"NZ","173.951","-35.2245"
"KWU","Mansion House","Mansion House",,"NZ","174.825","-36.432"
"MRO","Masterton","Masterton",,"NZ","175.661","-40.9489"
"MTA","Matamata","Matamata",,"NZ","175.773","-37.8096"
"MFN","Milford Sound","Milford Sound",,"NZ","167.928","-44.6698"
"MZP","Motueka","Motueka",,"NZ","173.011","-41.1101"
"TWZ","Pukaki/Twizel","Mount Cook",,"NZ","174.774","-41.3014"
"MON","Mount Cook Airport","Mount Cook",,"NZ","174.774","-41.3014"
"GTN","Glentanner","Mount Cook",,"NZ","174.774","-41.3014"
"NPE","Hawkes Bay","Napier-Hastings",,"NZ","176.85","-39.5833"
"NSN","Nelson","Nelson",,"NZ","173.284","-41.2708"
"NPL","New Plymouth","New Plymouth",,"NZ","174.076","-39.0581"
"OAM","Oamaru","Oamaru",,"NZ","170.971","-45.0977"
"OHA","Royal Air Force Base","Ohakea",,"NZ","175.384","-40.1974"
"PKL","Pakatoa Island","Pakatoa Island",,"NZ","175.195","-36.7965"
"PMR","Palmerston North","Palmerston North",,"NZ","175.612","-40.3557"
"PPQ","Paraparaumu","Paraparaumu",,"NZ","175.009","-40.9136"
"PCN","Koromiko","Picton",,"NZ","174.006","-41.2929"
"GBS","Port Fitzroy","Port Fitzroy",,"NZ","175.417","-36.1973"
"ZQN","Frankton","Queenstown",,"NZ","168.663","-45.0311"
"RAG","Raglan","Raglan",,"NZ","174.873","-37.8026"
"ROT","Rotorua","Rotorua",,"NZ","176.247","-38.1398"
"SZS","Stewart Island","Stewart Island",,"NZ","167.837","-46.9973"
"WIK","Surfdale","Surfdale",,"NZ","175.028","-36.7921"
"THH","Taharoa","Taharoa",,"NZ","174.817","-37.35"
"KTF","Takaka","Takaka",,"NZ","172.807","-40.8542"
"TUO","Taupo","Taupo",,"NZ","176.07","-38.6866"
"TRG","Tauranga","Tauranga",,"NZ","176.167","-37.6871"
"TEU","Manapouri","Te Anau",,"NZ","167.718","-45.4151"
"TMZ","Thames","Thames",,"NZ","175.542","-37.1422"
"TIU","Timaru","Timaru",,"NZ","171.25","-44.3968"
"TKZ","Tokoroa","Tokoroa",,"NZ","175.871","-38.2181"
"WIR","Wairoa","Wairoa",,"NZ","177.425","-39.0395"
"WGN","Waitangi","Waitangi",,"NZ","174.08","-35.2661"
"WKA","Wanaka","Wanaka",,"NZ","169.133","-44.6987"
"WAG","Wanganui","Wanganui",,"NZ","175.048","-39.9303"
"WLG","Wellington","Wellington",,"NZ","174.776","-41.2865"
"WSZ","Westport","Westport",,"NZ","171.602","-41.7581"
"WHK","Whakatane","Whakatane",,"NZ","176.986","-37.9584"
"WRE","Whangarei","Whangarei",,"NZ","174.323","-35.7229"
"WTZ","Whitianga","Whitianga",,"NZ","175.7","-36.8358"
"WWG","Al Koude","Al Koude",,"OM","-86.9023","32.3182"
"RMB","Buraimi","Buraimi",,"OM","55.7882","24.2508"
"BYB","Dibaa","Dibaa",,"OM","56.2438","25.6205"
"KHS","Khasab","Khasab",,"OM","56.244","26.1964"
"OMM","Marmul","Marmul",,"OM","55.2217","18.1762"
"MSH","Masirah","Masirah",,"OM","58.8153","20.4711"
"MCT","Seeb","Muscat",,"OM","58.5922","23.6138"
"SLL","Salalah","Salalah",,"OM","54.0923","17.0139"
